Macro Região;UF;Região;Município;Código Município;Qtd. Empregos Hospedagem;Qtd. Estabelecimentos Hospedagem;Demanda Internacional;Demanda Doméstica;Cluster 2017 (Categoria)
Norte;PA;Araguaia-Tocantins;Limoeiro do Ajuru;1504000;0;2;0;912;D
Norte;PA;Amazônia Atlântica;Mãe do Rio;1504059;10;1;0;46.421;D
Norte;PA;Amazônia Atlântica;Magalhães Barata;1504109;0;0;0;4.619;D
Norte;PA;Araguaia-Tocantins;Marabá;1504208;363;31;2.429;358.588;B
Norte;PA;Amazônia Atlântica;Maracanã;1504307;3;2;0;29.728;D
Norte;PA;Amazônia Atlântica;Marapanim;1504406;0;1;264;63.263;D
Norte;PA;Belém;Marituba;1504422;13;1;0;2.468;D
Norte;PA;Xingu;Medicilândia;1504455;4;1;0;0;D
Norte;PA;Marajó;Melgaço;1504505;0;0;0;0;E
Norte;PA;Araguaia-Tocantins;Mocajuba;1504604;1;2;0;8.586;D
Norte;PA;Araguaia-Tocantins;Moju;1504703;0;3;235;8.695;D
Norte;PA;Tapajós;Mojuí dos Campos;1504752;0;0;0;0;E
Norte;PA;Tapajós;Monte Alegre;1504802;3;5;142;37.610;D
Norte;PA;Marajó;Muaná;1504901;0;0;0;12.019;D
Norte;PA;Amazônia Atlântica;Nova Esperança do Piriá;1504950;0;1;0;0;D
Norte;PA;Araguaia-Tocantins;Nova Ipixuna;1504976;0;0;0;0;E
Norte;PA;Amazônia Atlântica;Nova Timboteua;1505007;0;0;0;2.468;D
Norte;PA;Tapajós;Novo Progresso;1505031;38;14;0;0;C
Norte;PA;Araguaia-Tocantins;Novo Repartimento;1505064;12;5;122;61.048;D
Norte;PA;Tapajós;Óbidos;1505106;6;4;0;36.532;D
Norte;PA;Araguaia-Tocantins;Oeiras do Pará;1505205;0;1;0;912;D
Norte;PA;Tapajós;Oriximiná;1505304;6;5;172;75.571;D
Norte;PA;Amazônia Atlântica;Ourém;1505403;1;0;0;1.239;D
Norte;PA;Araguaia-Tocantins;Ourilândia do Norte;1505437;30;10;0;20.587;C
Norte;PA;Xingu;Pacajá;1505486;1;0;0;2.851;D
Norte;PA;Araguaia-Tocantins;Palestina do Pará;1505494;0;0;0;728;D
Norte;PA;Amazônia Atlântica;Paragominas;1505502;110;13;670;56.406;C
Norte;PA;Araguaia-Tocantins;Parauapebas;1505536;304;30;891;200.040;B
Norte;PA;Amazônia Atlântica;Peixe-Boi;1505601;1;1;364;8.393;D
Norte;PA;Araguaia-Tocantins;Piçarra;1505635;0;2;0;728;D
Norte;PA;Xingu;Placas;1505650;3;2;0;0;D
Norte;PA;Marajó;Ponta de Pedras;1505700;2;3;197;3.395;D
Norte;PA;Marajó;Portel;1505809;1;2;0;1.239;D
Norte;PA;Xingu;Porto de Moz;1505908;0;1;0;0;D
Norte;PA;Tapajós;Prainha;1506005;0;0;112;8.639;D
Norte;PA;Amazônia Atlântica;Primavera;1506104;1;2;0;8.154;D
Norte;PA;Amazônia Atlântica;Quatipuru;1506112;0;0;0;0;E
Norte;PA;Araguaia-Tocantins;Redenção;1506138;75;16;352;104.731;C
Norte;PA;Araguaia-Tocantins;Rio Maria;1506161;10;1;232;33.480;D
Norte;PA;Tapajós;Rurópolis;1506195;2;2;0;43.953;D
Norte;PA;Amazônia Atlântica;Salinópolis;1506203;143;28;1.152;199.316;B
Norte;PA;Marajó;Salvaterra;1506302;38;8;366;17.070;C
Norte;PA;Belém;Santa Bárbara do Pará;1506351;0;1;0;912;D
Norte;PA;Marajó;Santa Cruz do Arari;1506401;0;0;0;4.936;D
Norte;PA;Amazônia Atlântica;Santa Izabel do Pará;1506500;0;1;147;15.477;D
Norte;PA;Amazônia Atlântica;Santa Luzia do Pará;1506559;4;1;0;0;D
Norte;PA;Araguaia-Tocantins;Santa Maria das Barreiras;1506583;0;1;0;1.494;D
Norte;PA;Amazônia Atlântica;Santa Maria do Pará;1506609;11;2;384;0;D
Norte;PA;Araguaia-Tocantins;Santana do Araguaia;1506708;18;4;0;23.021;D
Norte;PA;Tapajós;Santarém;1506807;325;39;7.321;191.863;B
Norte;PA;Amazônia Atlântica;Santarém Novo;1506906;0;0;97;0;D
Norte;PA;Amazônia Atlântica;São Caetano de Odivelas;1507102;0;2;0;4.619;D
Norte;PA;Araguaia-Tocantins;São Domingos do Araguaia;1507151;2;0;114;0;D
Norte;PA;Amazônia Atlântica;São Domingos do Capim;1507201;0;0;0;4.293;D
Norte;PA;Araguaia-Tocantins;São Félix do Xingu;1507300;26;9;0;131.396;C
Norte;PA;Amazônia Atlântica;São Francisco do Pará;1507409;0;0;162;2.794;D
Norte;PA;Araguaia-Tocantins;São Geraldo do Araguaia;1507458;0;3;0;16.341;D
Norte;PA;Amazônia Atlântica;São João de Pirabas;1507474;0;0;0;7.478;D
Norte;PA;Amazônia Atlântica;São Miguel do Guamá;1507607;11;4;0;1.632;D
Norte;PA;Marajó;São Sebastião da Boa Vista;1507706;0;1;0;2.468;D
Norte;PA;Xingu;Senador José Porfírio;1507805;0;0;0;0;E
Norte;PA;Marajó;Soure;1507904;35;7;2.729;25.952;C
Norte;PA;Araguaia-Tocantins;Tailândia;1507953;32;4;102;24.584;D
Norte;PA;Amazônia Atlântica;Terra Alta;1507961;0;0;0;5.848;D
Norte;PA;Tapajós;Terra Santa;1507979;1;1;0;2.851;D
Norte;PA;Amazônia Atlântica;Tomé-Açu;1508001;15;4;325;8.027;D
Norte;PA;Amazônia Atlântica;Tracuateua;1508035;14;1;0;2.468;D
Norte;PA;Tapajós;Trairão;1508050;0;1;0;0;D
Norte;PA;Araguaia-Tocantins;Tucumã;1508084;46;8;74;45.574;C
Norte;PA;Araguaia-Tocantins;Tucuruí;1508100;41;7;501;98.786;C
Norte;PA;Amazônia Atlântica;Ulianópolis;1508126;7;2;0;0;D
Norte;PA;Xingu;Uruará;1508159;20;4;0;6.794;D
Norte;PA;Amazônia Atlântica;Vigia;1508209;13;1;0;39.800;D
Norte;PA;Xingu;Vitória do Xingu;1508357;5;2;0;0;D
Norte;PA;Araguaia-Tocantins;Xinguara;1508407;65;9;259;7.522;C
Norte;RO;Vale do Guaporé;Alta Floresta DOeste;1100015;6;4;392;0;D
Norte;RO;Vale do Jamari;Alto Paraíso;1100403;0;2;381;0;D
Norte;RO;Vale do Jamari;Ariquemes;1100023;121;26;656;3.371;B
Norte;RO;Vale do Guaporé;Cabixi;1100031;6;2;0;0;D
Norte;RO;Vale do Jamari;Cacaulândia;1100601;3;1;0;0;D
Norte;RO;BR 364 - Caminhos de Rondon;Cacoal;1100049;192;16;628;98.548;C
Norte;RO;Vale do Jamari;Campo Novo de Rondônia;1100700;0;1;102;0;D
Norte;RO;Polo Porto Velho;Candeias do Jamari;1100809;22;5;0;0;D
Norte;RO;Vale do Guaporé;Costa Marques;1100080;2;4;0;1.548;D
Norte;RO;BR 364 - Caminhos de Rondon;Espigão d'Oeste;1100098;9;4;141;2.068;D
Norte;RO; Polo Guajará-Mirim;Guajará-Mirim;1100106;25;9;98;34.819;C
Norte;RO;BR 364 - Caminhos de Rondon;Ji-Paraná;1100122;172;17;1.224;35.172;C
Norte;RO;Polo Guajará-Mirim;Nova Mamoré;1100338;6;2;0;0;D
Norte;RO;BR 364 - Caminhos de Rondon;Nova União;1101435;14;0;0;0;E
Norte;RO;BR 364 - Caminhos de Rondon;Ouro Preto do Oeste;1100155;39;7;365;9.645;C
Norte;RO;BR 364 - Caminhos de Rondon;Pimenta Bueno;1100189;33;5;162;29.225;D
Norte;RO;Vale do Guaporé;Pimenteiras do Oeste;1101468;1;1;0;8.639;D
Norte;RO;Polo Porto Velho;Porto Velho;1100205;642;67;4.839;494.534;A
Norte;RO;BR 364 - Caminhos de Rondon;Presidente Médici;1100254;14;2;87;6.794;D
Norte;RO;Vale do Guaporé;São Francisco do Guaporé;1101492;7;4;0;11.490;D
Norte;RO;Vale do Guaporé;São Miguel do Guaporé;1100320;8;3;178;34.080;D
Norte;RO;BR 364 - Caminhos de Rondon;Vilhena;1100304;162;20;649;53.400;C
Norte;RR;Roraima, A Savana Amazônica;Alto Alegre;1400050;0;0;0;20.915;D
Norte;RR;O Extremo Norte do Brasil;Amajari;1400027;0;2;0;7.564;D
Norte;RR;Roraima, A Savana Amazônica;Boa Vista;1400100;285;34;4.968;475.033;A
Norte;RR;Roraima, A Savana Amazônica;Bonfim;1400159;7;0;57;18.570;D
Norte;RR;Roraima, A Savana Amazônica;Cantá;1400175;0;1;0;18.604;D
Norte;RR;Águas e Florestas da Linha do Equador;Caracaraí;1400209;2;2;0;26.645;D
Norte;RR;Águas e Florestas da Linha do Equador;Caroebe;1400233;0;2;0;10.843;D
Norte;RR;Roraima, A Savana Amazônica;Mucajaí;1400308;0;0;0;21.788;D
Norte;RR;O Extremo Norte do Brasil;Normandia;1400407;4;2;0;5.659;D
Norte;RR;O Extremo Norte do Brasil;Pacaraima;1400456;5;4;216;15.873;D
Norte;RR;Águas e Florestas da Linha do Equador;Rorainópolis;1400472;20;3;218;98.550;D
Norte;RR;O Extremo Norte do Brasil;Uiramutã;1400704;0;0;0;3.352;D
Norte;TO;Serras Gerais;Almas;1700400;1;2;102;1.494;D
Norte;TO;Norte- ;Ananás;1701002;1;1;0;0;D
Norte;TO;Lagos e Praias do Cantão;Araguacema;1701903;2;1;0;10.808;D
Norte;TO;Vale dos Grandes Rios;Araguaína;1702109;221;25;368;235.167;B
Norte;TO; Vale dos Grandes Rios;Araguanã;1702158;0;1;0;0;D
Norte;TO; Bico do Papagaio;Araguatins;1702208;24;7;74;7.486;C
Norte;TO; Serras Gerais;Arraias;1702406;8;2;0;16.264;D
Norte;TO; Serras Gerais;Aurora do Tocantins;1702703;0;1;0;0;D
Norte;TO;Serras e Lago;Brejinho de Nazaré;1703701;0;0;0;0;E
Norte;TO; Lagos e Praias do Cantão;Caseara;1703909;1;1;0;4.780;D
Norte;TO; Serras Gerais;Dianópolis;1707009;21;7;0;36.830;C
Norte;TO;Vale dos Grandes Rios;Filadélfia;1707702;0;0;0;3.064;D
Norte;TO; Ilha do Bananal;Formoso do Araguaia;1708205;9;5;0;9.224;D
Norte;TO; Vale dos Grandes Rios;Guaraí;1709302;41;10;0;58.630;C
Norte;TO;Ilha do Bananal;Gurupi;1709500;156;16;633;102.406;C
Norte;TO;Vale dos Grandes Rios;Itacajá;1710508;0;1;0;13.588;D
Norte;TO; Bico do Papagaio;Itaguatins;1710706;0;1;0;3.499;D
Norte;TO;Ilha do Bananal;Lagoa da Confusão;1711902;14;5;0;3.579;D
Norte;TO; Serras e Lago;Lajeado;1712009;0;1;0;0;D
Norte;TO;Encantos do Jalapao ;Mateiros;1712702;6;4;128;19.961;D
Norte;TO; Serras e Lago;Monte do Carmo;1713601;0;0;0;6.794;D
Norte;TO; Serras Gerais;Natividade;1714203;6;3;93;5.838;D
Norte;TO;Encantos do Jalapao ;Novo Acordo;1715101;0;0;0;0;E
Norte;TO; Serras e Lago;Palmas;1721000;589;60;4.777;439.469;A
Norte;TO; Serras e Lago;Paraíso do Tocantins;1716109;70;15;111;29.464;C
Norte;TO;Serras Gerais;Paranã;1716208;1;2;0;14.940;D
Norte;TO; Vale dos Grandes Rios;Pau DArco;1716307;0;0;0;0;E
Norte;TO; Vale dos Grandes Rios;Pedro Afonso;1716505;12;8;0;54.506;C
Norte;TO;Ilha do Bananal;Peixe;1716604;4;3;124;7.186;D
Norte;TO; Lagos e Praias do Cantão;Pium;1717503;0;1;0;0;D
Norte;TO; Encantos do Jalapao ;Ponte Alta do Tocantins;1717909;1;3;74;30.915;D
Norte;TO; Serras e Lago;Porto Nacional;1718204;47;10;404;42.308;C
Norte;TO;Bico do Papagaio;Praia Norte;1718303;0;1;0;0;D
Norte;TO; Serras Gerais;Rio da Conceição;1718659;0;0;0;0;E
Norte;TO; Bico do Papagaio;Sampaio;1718808;0;0;0;1.494;D
Norte;TO; Encantos do Jalapao ;São Félix do Tocantins;1720150;0;3;0;1.494;D
Norte;TO; Bico do Papagaio;São Sebastião do Tocantins;1720309;0;0;0;0;E
Norte;TO;Serras Gerais;Taguatinga;1720903;6;4;0;18.804;D
Norte;TO; Bico do Papagaio;Tocantinópolis;1721208;6;3;0;7.442;D
Norte;TO; Vale dos Grandes Rios;Xambioá;1722107;9;3;0;0;D
Nordeste;AL; Caminhos do São Francisco;Água Branca;2700102;0;1;145;0;D
Nordeste;AL;Agreste;Arapiraca;2700300;196;17;216;113.137;C
Nordeste;AL; Costa dos Corais;Barra de Santo Antônio;2700508;30;6;208;0;D
Nordeste;AL;Lagoas e Mares do Sul;Barra de São Miguel;2700607;66;14;230;8.936;C
