UF;REGIAO;MUNICIPIO;CATEGORIA
BA;Costa do Dendê;Maraú;B
BA;Costa dos Coqueiros;Mata de São João;A
BA;Chapada Diamantina;Miguel Calmon;D
BA;Caminhos do Sertão;Monte Santo;D
BA;Chapada Diamantina;Morro do Chapéu;D
BA;Chapada Diamantina;Mucugê;D
BA;Costa das Baleias;Mucuri;C
BA;Baía de Todos os Santos;Muniz Ferreira;E
BA;Caminhos do Jiquiriçá;Mutuípe;D
BA;Baía de Todos os Santos;Nazaré;D
BA;Caminhos do Sudoeste;Nova Canaã;E
BA;Chapada Diamantina;Nova Redenção;D
BA;Costa das Baleias;Nova Viçosa;C
BA;Chapada Diamantina;Ourolândia;E
BA;Chapada Diamantina;Palmeiras;D
BA;Chapada Diamantina;Paramirim;D
BA;Costa do Cacau;Pau Brasil;D
BA;Lagos e Canyons do São Francisco;Paulo Afonso;C
BA;Chapada Diamantina;Piatã;D
BA;Chapada Diamantina;Pindobaçu;E
BA;Chapada Diamantina;Piritiba;D
BA;Caminhos do Jiquiriçá;Planaltino;E
BA;Costa do Descobrimento;Porto Seguro;A
BA;Costa das Baleias;Prado;B
BA;Chapada Diamantina;Quixabeira;E
BA;Vale do São Francisco;Remanso;D
BA;Chapada Diamantina;Rio de Contas;D
BA;Chapada Diamantina;Rio do Pires;D
BA;Baía de Todos os Santos;Salinas da Margarida;C
BA;Baía de Todos os Santos;Salvador;A
BA;Caminhos do Sertão;Santa Bárbara;D
BA;Lagos e Canyons do São Francisco;Santa Brígida;D
BA;Costa do Descobrimento;Santa Cruz Cabrália;C
BA;Costa do Cacau;Santa Luzia;D
BA;Caminhos do Oeste;Santa Maria da Vitória;C
BA;Caminhos do Oeste;Santa Rita de Cássia;D
BA;Caminhos do Jiquiriçá;Santa Teresinha;D
BA;Baía de Todos os Santos;Santo Amaro;C
BA;Caminhos do Jiquiriçá;Santo Antônio de Jesus;C
BA;Caminhos do Oeste;São Desidério;D
BA;Baía de Todos os Santos;São Félix;D
BA;Caminhos do Oeste;São Félix do Coribe;D
BA;Baía de Todos os Santos;São Francisco do Conde;D
BA;Costa do Cacau;São José da Vitória;D
BA;Caminhos do Jiquiriçá;São Miguel das Matas;D
BA;Baía de Todos os Santos;Saubara;C
BA;Chapada Diamantina;Seabra;C
BA;Chapada Diamantina;Senhor do Bonfim;C
BA;Vale do São Francisco;Sento Sé;E
BA;Baía de Todos os Santos;Simões Filho;C
BA;Caminhos do Sertão;Sítio do Quinto;E
BA;Vale do São Francisco;Sobradinho;D
BA;Costa do Dendê;Taperoá;D
BA;Costa das Baleias;Teixeira de Freitas;C
BA;Caminhos do Sertão;Tucano;C
BA;Caminhos do Jiquiriçá;Ubaíra;D
BA;Chapada Diamantina;Uibaí;D
BA;Costa do Cacau;Una;C
BA;Costa do Cacau;Uruçuca;D
BA;Costa do Dendê;Valença;B
BA;Caminhos do Jiquiriçá;Varzedo;D
BA;Baía de Todos os Santos;Vera Cruz;B
BA;Caminhos do Sudoeste;Vitória da Conquista;B
BA;Chapada Diamantina;Wagner;D
BA;Chapada Diamantina;Xique-Xique;D
CE;Litoral Extremo Oeste;Acaraú;C
CE;Vale do Acaraú;Alcântaras;E
CE;Litoral Oeste;Amontada;C
CE;Litoral Leste;Aquiraz;B
CE;Litoral Leste;Aracati;B
CE;Cariri;Assaré;D
CE;Sertão Central;Banabuiú;D
CE;Cariri;Barbalha;D
CE;Litoral Extremo Oeste;Barroquinha;D
CE;Serras de Aratanha e Baturité;Baturité;C
CE;Litoral Leste;Beberibe;B
CE;Litoral Extremo Oeste;Bela Cruz;D
CE;Cariri;Brejo Santo;D
CE;Litoral Extremo Oeste;Camocim;C
CE;Sertão Central;Canindé;B
CE;Chapada da Ibiapaba;Carnaubal;D
CE;Litoral Leste;Cascavel;C
CE;Fortaleza;Caucaia;B
CE;Litoral Extremo Oeste;Chaval;D
CE;Litoral Leste;Chorozinho;D
CE;Sertão dos Inhamuns;Crateús;C
CE;Cariri;Crato;C
CE;Litoral Extremo Oeste;Cruz;D
CE;Litoral Leste;Eusébio;C
CE;Fortaleza;Fortaleza;A
CE;Litoral Leste;Fortim;C
CE;Serras de Aratanha e Baturité;Guaiúba;E
CE;Chapada da Ibiapaba;Guaraciaba do Norte;D
CE;Serras de Aratanha e Baturité;Guaramiranga;C
CE;Chapada da Ibiapaba;Ibiapina;D
CE;Litoral Leste;Icapuí;D
CE;Centro Sul/ Vale do Salgado;Icó;D
CE;Centro Sul/ Vale do Salgado;Iguatu;C
CE;Chapada da Ibiapaba;Ipu;D
CE;Litoral Oeste;Itapipoca;C
CE;Litoral Extremo Oeste;Itarema;D
CE;Vale do Jaguaribe;Jaguaretama;D
CE;Vale do Jaguaribe;Jaguaribara;D
CE;Vale do Jaguaribe;Jaguaribe;D
CE;Cariri;JARDIM;D
CE;Litoral Extremo Oeste;Jijoca de Jericoacoara;B
CE;Cariri;Juazeiro do Norte;B
CE;Cariri;Lavras da Mangabeira;D
CE;Vale do Jaguaribe;Limoeiro do Norte;D
